,Nombre,Foto,Valor,Posicion,Edad,Club,Escudo,Nacionalidad,Bandera,Partidos_jugados,Goles,Asistencias,Min_gol,Min_jugados,Goles_encajados,Partidos_cero
1,Kylian Mbappé,https://img.a.transfermarkt.technology/portrait/small/342229-1632686046.jpg?lm=1,160,Delantero centro,23,París Saint-Germain FC,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,['Francia'],['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569'],37,26,17,119,3.102,,
2,Erling Haaland,https://img.a.transfermarkt.technology/portrait/small/418560-1632685669.jpg?lm=1,150,Delantero centro,21,Borussia Dortmund,https://tmssl.akamaized.net/images/wappen/verysmall/16.png?lm=1396275280,"['Noruega', 'Inglaterra']","['https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569']",23,23,6,77,1.765,,
3,Vinicius Junior,https://img.a.transfermarkt.technology/portrait/small/371998-1624277492.jpg?lm=1,100,Extremo izquierdo,21,Real Madrid CF,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,['Brasil'],['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569'],39,17,14,193,3.289,,
4,Mohamed Salah,https://img.a.transfermarkt.technology/portrait/small/148455-1546611604.jpg?lm=1,100,Extremo derecho,29,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,['Egipto'],['https://tmssl.akamaized.net/images/flagge/verysmall/2.png?lm=1520611569'],36,28,10,108,3.031,,
5,Harry Kane,https://img.a.transfermarkt.technology/portrait/small/132098-1623778520.jpg?lm=1,100,Delantero centro,28,Tottenham Hotspur,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],41,22,6,156,3.440,,
6,Phil Foden,https://img.a.transfermarkt.technology/portrait/small/406635-1594986905.jpg?lm=1,90,Mediocentro,21,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],33,11,8,205,2.250,,
7,Bruno Fernandes,https://img.a.transfermarkt.technology/portrait/small/240306-1636537174.jpg?lm=1,90,Mediocentro ofensivo,27,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,['Portugal'],['https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569'],37,9,14,340,3.057,,
8,Kevin De Bruyne,https://img.a.transfermarkt.technology/portrait/small/88755-1626449012.jpg?lm=1,90,Mediocentro ofensivo,30,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,['Bélgica'],['https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569'],33,11,8,214,2.353,,
9,Neymar,https://img.a.transfermarkt.technology/portrait/small/68290-1632687616.jpg?lm=1,90,Extremo izquierdo,30,París Saint-Germain FC,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,['Brasil'],['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569'],21,5,5,342,1.712,,
10,Dusan Vlahovic,https://img.a.transfermarkt.technology/portrait/small/357498-1632225570.jpg?lm=1,85,Delantero centro,22,Juventus de Turín,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1626441487,['Serbia'],['https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569'],35,25,6,118,2.942,,
